cnty,year,yield,cdd,dh,drog,hdd,hr,crd,radn,rain,tavg,wl,region,rain2
110105,1981,3594.375,0,0,0,31.1006648,1,0,1745.520973,358.9003645,25.66913195,0,HHH,128809.4717
110105,1982,3453.409091,0,0,0,1.977546642,1,0,1685.789793,517.2706197,24.20053802,10.52824822,HHH,267568.894
110105,1983,3818.75,0,2.433017146,0,10.69187219,0,0,1696.079936,316.6197725,26.14097646,0,HHH,100248.0803
110105,1984,3418.768726,0,11.39336166,0,16.87179929,1,0,1699.208436,458.4093715,25.29222422,0,HHH,210139.1519
110105,1985,3642.226027,0,0,0,1.867445853,1.554578593,5,1499.993618,630.8174772,24.38474551,16.03375379,HHH,397930.6895
110105,1986,3894.929577,0,0,0,0.700321681,0,0,1524.442028,547.170105,24.12270046,0.003489149,HHH,299395.1238
110105,1987,4251.101695,0,0,0,18.7389449,2,0,1852.390832,606.4168984,24.34840352,18.77056807,HHH,367741.4546
110105,1988,3768.684211,0,0,0,0,1,3,1442.317941,516.1668022,24.6254912,11.30456764,HHH,266428.1677
110105,1989,4659.61165,0,0,0,7.912888701,1,3,1820.723206,353.7449067,24.66025616,0,HHH,125135.459
110105,1990,5106.648936,0,0,0,2.511044391,2,3,1513.456054,649.2616768,24.72461154,12.51470891,HHH,421540.725
110105,1991,5332.191781,0,0,0,23.43482741,1.554578593,0,1803.842618,409.1883332,24.8547243,0,HHH,167435.092
110105,1992,6163.773148,0,0,0,1.312116666,0.554578593,0,1774.802168,447.4591031,24.36403154,2.141483424,HHH,200219.649
110105,1993,6903.70019,0,0,0,1.303345497,0,0,1858.469953,400.3443058,24.17589087,0,HHH,160275.5632
110105,1994,6400,0,0,0,3.699892769,0.554578593,0,1740.295106,766.2494312,25.76395898,15.61285439,HHH,587138.1908
110105,1995,5875.039148,0,0,0,0.055522196,1,4,1608.243963,547.5639501,23.47021544,18.20916737,HHH,299826.2794
110105,1996,5303.510407,0,0,0,2.4112374,2,8,1678.025973,614.3192577,23.67976895,22.56913878,HHH,377388.1504
110105,1997,5113.262343,0,5.337474459,0.000754419,25.02035173,0,0,1968.651481,293.0393306,26.4769417,0,HHH,85872.0493
110105,1998,5418.005456,0,0,0,6.057752523,0,0,1761.319704,408.707613,25.37918405,0,HHH,167041.9129
110105,1999,2586.434855,0,9.665406376,5.239657789,12.13982421,0,3.890842813,1834.46311,269.7838087,26.26260758,0,HHH,72783.30343
110105,2000,4070.682237,0,0,0,49.32854387,2,3,1804.588968,479.206948,26.38746495,0,HHH,229639.299
110105,2001,5041.828794,0,0,0,3.970984359,0,0,1907.285076,362.5998498,24.73306969,0,HHH,131478.6511
110105,2002,5291.913215,0,0,0,10.11370363,0,0,1724.353774,327.5137678,24.45753047,0,HHH,107265.2681
110105,2003,5343.378798,0,6.776482076,7.066403413,24.41861465,1,0,1823.784227,314.3070982,25.63372575,0,HHH,98788.952
110105,2004,5378.752887,0,0,0,17.92131679,1,0,1880.299644,450.2213808,23.9254445,0,HHH,202699.2917
110105,2005,4583.193277,0,1.201493588,0,4.779390952,1.554578593,0,1925.709439,332.8852668,25.26978693,0,HHH,110812.6008
110105,2006,5965.417867,0,0,0,3.657044824,0,0,1780.939916,359.6490026,25.0919499,0,HHH,129347.405
110105,2007,5560.05401,0,15.60849123,10.8927729,7.367939101,0,0,1872.773461,268.9880548,25.99910752,0,HHH,72354.57363
110105,2008,5448.770492,0,0,0,28.18895565,0,0,1750.162911,393.8351486,24.7505407,0,HHH,155106.1243
110105,2009,5642.035723,0,0,0,8.510744152,0,0,1851.351863,298.8334762,24.86254587,0,HHH,89301.4465
110105,2010,5855.829705,0,0,0,13.1987776,0,3,1766.404421,349.5805059,24.87819828,0,HHH,122206.5301
110105,2011,7042.51269,0,0,0,7.457495178,0,0,1875.097688,452.1926654,24.4099688,0,HHH,204478.2067
110105,2012,6817.610063,0,0,0,12.25931805,0.554578593,0,1841.806494,375.159039,24.77149737,0,HHH,140744.3046
110105,2013,6701.03084,0.210851382,0,0,28.66217029,0,0,1684.750382,390.6520049,24.94489915,0,HHH,152608.9889
110105,2014,4723.305746,0,10.67013554,9.111087275,0.233755095,1,3,1692.981059,295.1252624,24.89620269,0,HHH,87098.9205
110105,2015,4689.119356,0,0,0,9.012202444,0,0,1677.204871,387.0127384,24.34572291,0,HHH,149778.8596
110105,2016,6170.212766,0,0,0,2.657109161,0,0,1629.584418,494.456916,24.75826177,0,HHH,244487.6417
110105,2017,7485.02994,0,0,0,8.279004934,0,0,1735.248432,417.0192577,24.99414122,0,HHH,173905.0613
110105,2018,8910.697938,0,0,0,9.111366073,0,0,1658.718115,440.8742009,25.24018375,0,HHH,194370.061
110106,1981,3132.236842,0,0,0,21.8,1,0,1733.36,416.4,25.15659341,0,HHH,173388.96
110106,1982,3501.315789,0,0,0,0.3,1,0,1682.39,587.9,23.68870968,23.53471643,HHH,345626.41
110106,1983,2343.75,0,4.256759188,0,3.1,0,0,1695.99543,348.7,25.61255888,0,HHH,121591.69
110106,1984,2266.496694,0,14.8980675,2.155602484,6.5,1,0,1712.338363,449.1,25.01228648,0,HHH,201690.81
110106,1985,3076.771654,0,0,0,1.3,1,5,1500.369549,533.6,24.23864873,30.91727168,HHH,284728.96
110106,1986,3238.548387,0,0,0,0.2,0,0,1552.82,657.8,23.80444444,38.36956565,HHH,432700.84
110106,1987,2998.333333,0,0,0,13.9,1,0,1832.59548,532.6,24.16261496,18.21357382,HHH,283662.76
110106,1988,3070.135135,0,0,0,0,1,3,1436.017963,520.5,24.34236812,21.59437453,HHH,270920.25
110106,1989,2932.905983,0,0,0,2.3,1,3,1796.408602,432.9,24.32198444,0,HHH,187402.41
110106,1990,2898.121387,0,0,0,2.1,3,3,1538.059694,695.9,24.57573455,20.70889692,HHH,484276.81
110106,1991,3831.232092,0,0,0,15.6,0,0,1837.3,372.1,24.50858586,0,HHH,138458.41
110106,1992,3119.809689,0,0,0,1.7,0,0,1772.427712,364.9,24.06683153,0,HHH,133152.01
110106,1993,3542.477876,0,0,0,0.8,0,0,1842.23,350.9,24.14019608,0,HHH,123130.81
110106,1994,4200,0,0,0,1,0,0,1689.78,693.1,25.46947368,22.72318474,HHH,480387.61
110106,1995,4979.931473,0,0,0,0,1,4,1651.23,590.8,23.08585859,32.52705416,HHH,349044.64
110106,1996,4479.61165,0,0,0,1.7,2,14,1691.5,668.1,23.27451923,41.97044548,HHH,446357.61
110106,1997,4120.452311,0,5.828594275,2,16.4,0,0,1952.42,267.8,26.03877551,0,HHH,71716.84
110106,1998,4975.063613,0,0,0,1.4,0,0,1751.35,481.5,25.0814433,0,HHH,231842.25
110106,1999,2353.639259,0,9.525405482,5.108167977,2,0,5,1806.695973,348.1,25.50776481,0,HHH,121173.61
110106,2000,2848.920863,0,0,0,33.1,1,0,1755.007492,477.5,25.58109315,0,HHH,228006.25
110106,2001,2543.445122,0,0,0,2,0,0,1877.5156,380.3,24.44463312,0,HHH,144628.09
110106,2002,3619.575254,0,0,0,5.1,0,0,1736.28,362.1,24.04242424,0,HHH,131116.41
110106,2003,2156.352028,0,3.023740578,7.011796622,15.9,1,0,1894.202262,356.3,25.00389971,0,HHH,126949.69
110106,2004,3025.222552,0,0,0,13.3,1,0,1887.224018,490.9,23.58198751,0,HHH,240982.81
110106,2005,3436.342593,0,0,0,2.2,1,0,1922.086652,350.8,25.13452135,0,HHH,123060.64
110106,2006,3033.810143,0,0,0,0,0,0,1780.544681,387.7,24.45057097,0,HHH,150311.29
110106,2007,3253.970495,0,16.382295,12.10374092,4.9,0,0,1866.847901,283.1,25.49481981,0,HHH,80145.61
110106,2008,3666.666667,0,0,0,21.4,0,0,1787.073612,339,24.35498675,0,HHH,114921
110106,2009,3524.819389,0,0,4.143287381,5.9,0,0,1894.341185,336.8,24.55616817,0,HHH,113434.24
110106,2010,2580.265411,0.4,1.159057436,0,8.5,0,3,1829.277479,350.3,24.2492681,0,HHH,122710.09
110106,2011,3564.369311,0,0,0,4.6,1,0,1866.85708,461.1,23.80486803,0,HHH,212613.21
110106,2012,3260,0,1.381898088,0,8,0,0,1863.859667,380.9,24.42752506,0,HHH,145084.81
110106,2013,4045.181877,0,0,0,24.9,0,0,1707.23,353.1,24.62783505,0,HHH,124679.61
110106,2014,2685.470062,0,12.4495909,15.52472242,0,1,3,1717.188096,294.5,24.65381867,0,HHH,86730.25
110106,2015,4482.039098,0,0,0,3,0,0,1700.41,411,23.89690722,0,HHH,168921
110106,2016,3816.120907,0,0,0,1,0,0,1668.643376,493.3,24.63058233,0,HHH,243344.89
110106,2017,5075.620085,0,0,0,7.3,0,0,1780.23,375.4,24.52061856,0,HHH,140925.16
110106,2018,4926.108374,0,0,0,12.5,0,0,1684.91,400.5,24.92474227,0,HHH,160400.25
